Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8666666666666667,0.23684210526315788,0.75,0.36,0.9258040935672515
Decision Tree,0.9291666666666667,0.35294117647058826,0.5,0.41379310344827586,0.7258771929824561
Random Forest,0.9333333333333333,0.375,0.5,0.42857142857142855,0.9554093567251462
Gradient Boosting,0.9458333333333333,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.9685672514619883
KNN,0.8541666666666666,0.1891891891891892,0.5833333333333334,0.2857142857142857,0.7669956140350878
SVM,0.8166666666666667,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.8728070175438596
